,Season,Lg,Tm,W,L,Finish,Unnamed: 6,Age,Ht.,Wt.,Unnamed: 10,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
23,1999-00,NBA,CHI,17,65,8,,26.0,6-6,225,,82,19805,2565,6180,.415,340,1032,.329,2225,5148,.432,1482,2089,.709,1032,2323,3355,1645,646,383,1557,1908,6952
24,1998-99,NBA,CHI,13,37,8,,28.6,6-6,212,,50,12075,1539,3837,.401,177,612,.289,1362,3225,.422,840,1185,.709,573,1394,1967,1017,436,169,774,1112,4095
25,1997-98,NBA,CHI,62,20,1,,31.7,6-7,209,,82,19855,3064,6801,.451,311,962,.323,2753,5839,.471,1492,2009,.743,1243,2438,3681,1952,696,353,1178,1691,7931
26,1996-97,NBA,CHI,69,13,1,,30.7,6-7,210,,82,19730,3277,6923,.473,523,1403,.373,2754,5520,.499,1381,1848,.747,1235,2461,3696,2142,716,332,1109,1617,8458
27,1995-96,NBA,CHI,72,10,1,,29.9,6-7,209,,82,19730,3293,6892,.478,544,1349,.403,2749,5543,.496,1495,2004,.746,1247,2411,3658,2033,745,345,1175,1807,8625
28,1994-95,NBA,CHI,47,35,3,,28.1,6-7,206,,82,19830,3191,6710,.476,443,1187,.373,2748,5523,.498,1500,2065,.726,1106,2294,3400,1970,797,352,1297,1962,8325
29,1993-94,NBA,CHI,55,27,2,,27.7,6-7,205,,82,19780,3245,6815,.476,233,659,.354,3012,6156,.489,1310,1859,.705,1143,2391,3534,2102,740,354,1306,1750,8033
30,1992-93,NBA,CHI,57,25,1,,28.1,6-7,208,,82,19830,3475,7205,.482,244,669,.365,3231,6536,.494,1431,1952,.733,1290,2283,3573,2133,783,410,1103,1804,8625
31,1991-92,NBA,CHI,67,15,1,,27.6,6-7,207,,82,19830,3643,7168,.508,138,454,.304,3505,6714,.522,1587,2132,.744,1173,2439,3612,2279,672,480,1088,1693,9011
32,1990-91,NBA,CHI,61,21,1,,26.9,6-7,209,,82,19755,3632,7125,.510,155,424,.366,3477,6701,.519,1605,2111,.760,1148,2342,3490,2212,822,438,1184,1751,9024
33,1989-90,NBA,CHI,55,27,2,,26.1,6-7,210,,82,19830,3531,7090,.498,250,669,.374,3281,6421,.511,1665,2140,.778,1075,2279,3354,2172,814,388,1247,1906,8977
34,1988-89,NBA,CHI,47,35,5,,26.4,6-7,211,,82,19780,3448,6968,.495,174,530,.328,3274,6438,.509,1656,2106,.786,1018,2453,3471,2213,722,376,1327,1855,8726
35,1987-88,NBA,CHI,50,32,2,,25.5,6-7,210,,82,19855,3434,7015,.490,56,243,.230,3378,6772,.499,1685,2221,.759,1170,2459,3629,2149,712,475,1263,1849,8609
36,1986-87,NBA,CHI,40,42,5,,25.4,6-7,210,,82,19830,3382,7155,.473,78,299,.261,3304,6856,.482,1754,2254,.778,1248,2400,3648,2143,677,438,1257,1922,8596
37,1985-86,NBA,CHI,30,52,4,,26.6,6-7,206,,82,19855,3476,7227,.481,88,317,.278,3388,6910,.490,1922,2499,.769,1280,2278,3558,2006,609,400,1436,2166,8962
38,1984-85,NBA,CHI,38,44,3,,25.2,6-7,207,,82,19805,3453,6909,.500,29,161,.180,3424,6748,.507,1981,2526,.784,1074,2366,3440,1992,622,468,1463,2071,8916
39,1983-84,NBA,CHI,27,55,5,,24.4,6-7,207,,82,19980,3305,6972,.474,20,117,.171,3285,6855,.479,1871,2508,.746,1141,2300,3441,2095,687,454,1578,2196,8501
40,1982-83,NBA,CHI,28,54,4,,24.5,6-7,208,,82,19905,3537,7373,.480,45,209,.215,3492,7164,.487,1983,2690,.737,1267,2527,3794,2086,666,400,1743,2192,9102
41,Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
42,1981-82,NBA,CHI,34,48,5,,26.5,6-7,207,,82,19880,3369,6728,.501,54,213,.254,3315,6515,.509,1951,2545,.767,1125,2525,3650,2043,580,483,1636,2008,8743
43,1980-81,NBA,CHI,45,37,2,,26.5,6-8,209,,82,19780,3457,6903,.501,38,179,.212,3419,6724,.508,1985,2563,.774,1227,2475,3702,1925,729,514,1672,2058,8937
44,1979-80,NBA,CHI,30,52,4,,25.9,6-7,208,,82,19905,3362,6943,.484,70,275,.255,3292,6668,.494,2019,2592,.779,1115,2465,3580,2152,704,392,1684,2146,8813
45,1978-79,NBA,CHI,31,51,5,,26.2,6-7,203,,82,19780,3478,7108,.489,,,,3478,7108,.489,1632,2184,.747,1224,2544,3768,2169,576,324,1813,1970,8588
46,1977-78,NBA,CHI,40,42,3,,26.5,6-6,201,,82,19755,3330,7041,.473,,,,3330,7041,.473,1863,2471,.754,1248,2577,3825,2119,665,322,1667,1930,8523
47,1976-77,NBA,CHI,44,38,3,,26.1,6-6,204,,82,19805,3249,7186,.452,,,,3249,7186,.452,1613,2159,.747,1292,2705,3997,1989,699,364,1552,1871,8111
48,1975-76,NBA,CHI,24,58,4,,27.4,6-6,203,,82,19780,3106,7499,.414,,,,3106,7499,.414,1651,2197,.751,1375,2726,4101,1704,627,255,1413,1977,7863
49,1974-75,NBA,CHI,47,35,1,,30.2,6-6,204,,82,19880,3167,7085,.447,,,,3167,7085,.447,1711,2203,.777,1107,2786,3893,1840,668,379,1482,1952,8045
50,1973-74,NBA,CHI,54,28,2,,28.7,6-5,206,,82,19780,3292,7378,.446,,,,3292,7378,.446,1784,2314,.771,1143,2616,3759,1868,764,316,1690,1874,8368
51,1972-73,NBA,CHI,51,31,2,,27.7,6-5,205,,82,19805,3480,7835,.444,,,,3480,7835,.444,1574,2073,.759,,,4000,2023,,,,1881,8534
52,1971-72,NBA,CHI,57,25,2,,27.5,6-5,207,,82,19780,3539,7853,.451,,,,3539,7853,.451,2039,2700,.755,,,4371,2087,,,,1964,9117
53,1970-71,NBA,CHI,51,31,2,,27.4,6-6,207,,82,19755,3460,7660,.452,,,,3460,7660,.452,2150,2721,.790,,,4325,2142,,,,1797,9070
54,1969-70,NBA,CHI,39,43,3,,26.3,6-6,211,,82,19880,3607,8133,.444,,,,3607,8133,.444,2209,2861,.772,,,4383,2133,,,,1863,9423
55,1968-69,NBA,CHI,33,49,5,,25.7,6-6,213,,82,19755,3355,8021,.418,,,,3355,8021,.418,1877,2577,.728,,,4550,1597,,,,2064,8587
56,1967-68,NBA,CHI,29,53,4,,25.3,6-5,207,,82,19805,3488,8138,.429,,,,3488,8138,.429,2006,2718,.738,,,5117,1527,,,,2130,8982
57,1966-67,NBA,CHI,33,48,4,,25.6,6-5,207,,81,19490,3565,8505,.419,,,,3565,8505,.419,2037,2784,.732,,,5295,1827,,,,2205,9167
